controller_type,alpha,ptg,seed,total_reward,profit,total_revenue,total_trips,total_requests,total_waiting_cost,total_travel_cost,total_exit_cost,total_subsidy
baseline,0.0,0.0,16,128095.17739536928,0.0,3104019.160000047,513774,826288,2053089.9664353428,409665.42816417624,513168.5880051165,0
fixed,0.0,0.1,16,664231.9267274975,519876.6179989795,2809443.4300000677,466461,826288,1345786.2040537493,341772.35979550163,457652.93942326575,0
fixed,0.0,0.2,16,981699.282720682,842037.4359991746,2288825.160000045,385063,826288,709096.0255174657,245049.84896730632,352980.00279423944,0
fixed,0.0,0.3,16,849583.2613872413,814964.3880005339,1492049.08999995,255553,826288,289670.01877067756,147995.6115473721,204800.1982942765,0
fixed,0.0,0.4,16,299809.80177909054,373222.912000129,519262.4000000026,89713,826288,63209.815010244,90630.22591457482,65612.55729617461,0
fixed,0.0,0.5,16,19746.380926595986,57288.94500000001,63804.14000000023,11657,826288,6344.08208823575,28898.17391541612,8815.503069753253,0
method,0.0,0.0,16,965701.7380183423,1185972.1465085123,2599175.070000076,432900,826288,868740.8257003381,323959.3892940648,440773.1169872986,0.0
smoothed,0.0,0.0,16,927572.0222289596,973271.5880505611,2559793.2800000794,426893,826288,860097.6572149637,335962.64997409284,436160.9505820509,0.0
method,0.25,0.0,16,518538.6798004113,462378.86333184043,2501962.4600000987,417794,826288,794628.2549537293,740559.145372639,448236.37987383787,450724.80233891594
smoothed,0.25,0.0,16,511740.0928748447,311211.1797499848,2482324.6300000753,414173,826288,803118.0682284601,719967.7516962432,447498.7172010217,447629.9937996139
method,0.5,0.0,16,131759.53579003538,-242203.3076175083,2285934.3100000313,381754,826288,668447.6454788732,1060637.0549612106,425090.0737702867,843685.1452355934
smoothed,0.5,0.0,16,112616.26598227583,-302144.19007669576,2300472.0600000536,383894,826288,662999.8123612904,1102668.559885234,422187.4217715877,848099.934932985
