controller_type,alpha,ptg,seed,total_reward,profit,total_revenue,total_trips,total_requests,total_waiting_cost,total_travel_cost,total_exit_cost,total_subsidy
baseline,0.0,0.0,2,331.95505388963346,0.0,3318744.1300001093,547641,826288,2363214.835481959,412640.81430464296,542556.5251594612,0
fixed,0.0,0.1,2,-1276529.1526279184,563381.5599987376,3026528.8600000776,497831,826288,2038290.590332967,1736808.9034059388,527958.5188891842,0
fixed,0.0,0.2,2,-211767.2645405706,972139.5459984513,2621313.430000129,431771,826288,1132609.3642124604,1256893.3877060174,443577.94262202573,0
fixed,0.0,0.3,2,293232.2540387139,1033019.1570013199,1876082.960000013,310220,826288,477871.157632615,807198.1812113737,297781.3671169183,0
