controller_type,alpha,ptg,seed,total_reward,profit,total_revenue,total_trips,total_requests,total_waiting_cost,total_travel_cost,total_exit_cost,total_subsidy
baseline,0.0,0.0,17,-181737.28787096974,0.0,3323534.9900000566,548429,826288,2540019.9337164653,424287.02201605676,540965.3221384559,0
fixed,0.0,0.1,17,-1125887.2489903446,566522.7589987135,3043474.7300000694,501166,826288,1917023.1283903972,1724389.4963448995,527949.3542550125,0
fixed,0.0,0.2,17,-168585.1703760298,973949.8419983892,2629630.6200000993,432821,826288,1073824.0020820424,1280027.5035740158,444364.2847198756,0
fixed,0.0,0.3,17,235951.77381957215,1037475.1830013428,1879995.0899999898,312027,826288,491076.9759381948,847997.2162220391,304969.12402000517,0
