controller_type,alpha,ptg,seed,total_reward,profit,total_revenue,total_trips,total_requests,total_waiting_cost,total_travel_cost,total_exit_cost,total_subsidy
baseline,0.0,0.0,32,-266642.8887481743,0.0,3322487.300000079,549615,826288,2622771.901576821,423169.24801324314,543189.0391579614,0
fixed,0.0,0.1,32,-1322427.1507847118,565304.2969987293,3037418.9000001303,499941,826288,2111540.954166144,1717293.7457940136,531011.35082485,0
fixed,0.0,0.2,32,-187204.29268338607,971669.2199984052,2620641.8500000895,431207,826288,1122737.8110833184,1239432.073142864,445676.25845733343,0
fixed,0.0,0.3,32,255239.25016529157,1021502.7750012794,1853176.539999979,307839,826288,478340.8211968815,822969.2649267835,296627.20371099265,0
