controller_type,alpha,ptg,seed,total_reward,profit,total_revenue,total_trips,total_requests,total_waiting_cost,total_travel_cost,total_exit_cost,total_subsidy
baseline,0.0,0.0,31,85234.26404415481,0.0,3116047.6700000754,516436,826288,2111145.902076112,404439.5702392959,515227.93364044535,0
fixed,0.0,0.1,31,668805.2096302098,522077.17499896203,2822629.780000111,469534,826288,1350720.1138674011,345261.37735837046,457843.0791439661,0
fixed,0.0,0.2,31,973209.2590648092,842619.0039991841,2290768.0900000404,385226,826288,722582.4842923372,244304.76618385012,350671.5804587211,0
fixed,0.0,0.3,31,862740.9725021197,819210.4530005273,1501759.91999995,255963,826288,289960.28142656985,142137.67251348263,206920.9935574184,0
fixed,0.0,0.4,31,307159.6176957452,376997.68800013466,524509.2200000006,91055,826288,64059.382370999694,87517.5934098642,65772.62652348408,0
fixed,0.0,0.5,31,24852.43827210282,63168.56499999989,71464.57000000036,12587,826288,6807.359255465525,30614.065269192404,9190.707203239217,0
method,0.0,0.0,31,947934.691806758,1214781.2580426754,2598192.5700001377,432023,826288,875156.8122360647,332330.1585196567,442770.90743763215,0.0
smoothed,0.0,0.0,31,921877.9041018835,943758.947440538,2523187.0900000734,420209,826288,843865.3395333204,324862.6536989535,432581.192666005,0.0
method,0.25,0.0,31,408163.5643409362,443775.1336463314,2513158.4600001303,418995,826288,863684.6742513187,790528.9392889498,450781.28211955354,454042.8718674579
smoothed,0.25,0.0,31,480598.84192644065,288649.1668267043,2472690.3200000753,412637,826288,804846.1899222204,745398.6958150911,441846.5923368562,444610.15396454785
method,0.5,0.0,31,192562.6838357553,-192576.8658166341,2265591.950000032,378260,826288,636552.4757153495,1013974.9666840646,422501.82376508164,835726.9757681016
smoothed,0.5,0.0,31,164973.64184665683,-297400.95358961174,2261295.7400000123,378338,826288,636183.0176781905,1044885.5902230837,415253.4902523425,837145.5682983272
